,points_range,deslen,price_range,variety,province
507,90-94,214,30-39,Shiraz,Victoria
508,95-99,341,100+,Syrah,South Australia
509,90-94,296,60-79,Shiraz,South Australia
510,85-89,249,10-19,Rosé,South Australia
511,85-89,288,10-19,Semillon-Sauvignon Blanc,South Australia
512,85-89,299,10-19,Shiraz-Viognier,Australia Other
513,85-89,189,<10,Chardonnay,Australia Other
514,85-89,206,20-29,Cabernet Sauvignon,South Australia
515,85-89,163,10-19,Shiraz-Viognier,South Australia
516,80-84,217,10-19,Red Blend,Victoria
517,90-94,316,20-29,Shiraz,South Australia
518,80-84,124,100+,Red Blend,Victoria
519,85-89,352,10-19,Red Blend,South Australia
520,90-94,253,30-39,Shiraz,South Australia
521,90-94,297,60-79,Syrah,South Australia
522,90-94,281,80-99,Shiraz,South Australia
523,90-94,375,60-79,Chardonnay,Western Australia
524,90-94,201,40-49,Sparkling Blend,Tasmania
525,85-89,224,10-19,Viognier,South Australia
526,85-89,236,20-29,Sparkling Blend,Western Australia
527,85-89,273,10-19,Sémillon,South Australia
528,80-84,147,20-29,Bordeaux-style Red Blend,Western Australia
529,90-94,161,60-79,Cabernet Sauvignon,South Australia
530,85-89,305,10-19,Chardonnay,Australia Other
531,85-89,281,10-19,Shiraz,Victoria
532,85-89,278,10-19,Red Blend,South Australia
533,90-94,414,60-79,Cabernet Sauvignon,South Australia
534,90-94,355,40-49,Cabernet Sauvignon,Western Australia
535,85-89,249,10-19,Rosé,South Australia
536,85-89,151,10-19,Chardonnay,Australia Other
537,85-89,178,10-19,Chardonnay,South Australia
538,85-89,284,30-39,Sémillon,New South Wales
539,90-94,245,10-19,Shiraz,South Australia
540,90-94,266,60-79,Riesling,Western Australia
541,90-94,237,10-19,Shiraz,Western Australia
542,90-94,267,40-49,Shiraz,South Australia
543,85-89,204,10-19,Cabernet Sauvignon,New South Wales
544,90-94,246,60-79,Grenache,South Australia
545,90-94,268,20-29,Riesling,South Australia
546,90-94,307,30-39,Chardonnay,South Australia
547,90-94,362,40-49,Chardonnay,South Australia
548,85-89,232,20-29,Chardonnay,New South Wales
549,85-89,317,100+,Chardonnay,South Australia
550,85-89,206,10-19,Chardonnay,New South Wales
551,85-89,208,10-19,Chardonnay,New South Wales
552,85-89,182,20-29,Chardonnay,New South Wales
553,90-94,276,100+,Shiraz,South Australia
554,90-94,216,30-39,Chardonnay,Western Australia
555,90-94,247,20-29,Grenache,South Australia
