,points_range,deslen,price_range,variety,province
509,90-94,250,10-19,Bonarda,Mendoza Province
510,90-94,248,10-19,Cabernet Franc,Mendoza Province
511,90-94,341,60-79,Malbec,Mendoza Province
512,90-94,262,100+,Malbec,Mendoza Province
513,90-94,324,100+,Cabernet Franc,Mendoza Province
514,85-89,268,20-29,Chardonnay,Mendoza Province
515,85-89,258,10-19,Cabernet Sauvignon,Mendoza Province
516,85-89,269,10-19,Sauvignon Blanc,Mendoza Province
517,80-84,114,<10,Moscato,Mendoza Province
518,80-84,135,10-19,Malbec-Cabernet Sauvignon,Mendoza Province
519,80-84,110,<10,Malbec,Mendoza Province
520,85-89,283,10-19,Cabernet Sauvignon,Mendoza Province
521,85-89,279,10-19,Torrontés,Other
522,80-84,264,40-49,Red Blend,Other
